Item,name,Actual Name of Item on Website,Label1,Label2,Patch,Market Price,Value of Item,
17,Drone,"WiFi FPV Drone with 1080P HD Camera, 40 Mins Flight Time,Foldable Drone for Beginners,Altitude Hold Mode, RTF One Key Take Off/Landing,3D Flips 2 Batteries, APP Control, Easy Toy for Kids & Adults",electronic,entertainment,1,61.99,HIGH,
18,Robotic Vacuum Cleaner,"Robot Vacuum and Mop Cleaner, 300ML Larger Water Tank, Suction Boost, Daily Schedule, GYRO Navigation, Compatible with Alexa",electronic,cleaning,1,99.99,HIGH,
19,Pen,"Pentel Rolling Writer Pen, 0.8 Millimeter Cushion Ball Tip, Blue Ink, Box of 12 (R100-C)",office supplies,,2,7.99,LOW,
20,Lighter,Bic Mini Hot Pink Lighters Lot of 4,electronic,,2,8.9,LOW,
21,Spoon,"dearithe Teaspoons Set of 8,Stainless Steel Tea Spoons,Sugar Measuring Coffe Spoon Silverware,6.29 Inches,For Home, Kitchen,Bar, Dishwasher Safe",daily necessity,,2,8.99,LOW,
22,Travel Pillow,"World's Best Feather Soft Microfiber Neck Pillow, Charcoal",travel,,2,10.99,LOW,
23,Ruler,"Fiskars 01-005358 Back to School Supplies Wood Ruler, 12 Inch",office supplies,,2,0.47,LOW,
24,Reusable Grocery Shopping Bag,Basic Reusable Tote Bag Red,travel,,2,10,LOW,
25,Water Bottle,"Takeya Actives Insulated Stainless Steel Water Bottle with Spout Lid, 18 Ounce, Canary",daily necessity,food,2,20.7,MEDIUM,
26,Binoculars,"20x50 High Power Military Binoculars, Compact HD Professional/Daily Waterproof Binoculars Telescope for Adults Bird Watching Travel Hunting Football Games Stargazing with Carrying Case and Strap",game,entertainment,2,46,MEDIUM,
27,Wallet,Mens RFID Blocking Bifold Wallet Soft Genuine Leather Brown Western,daily necessities,,2,28.99,MEDIUM,
28,Digital Clock,"SICSMIAO Digital Alarm Clock Radio for Bedroom, FM Radio Clock with Sleep Timer, 3-Display Color With Auto-Dimmer, 7 Color Night Light, 2 USB Chargers, Nap Timer, Battery Backup for Bedside/Table/Desk",electronic,,2,22.99,MEDIUM,
29,Wireless Phone Charger,"Anker Wireless Charger, 313 Wireless Charger (Pad), Qi-Certified 10W Max for iPhone 12/12 Pro/12 mini/12 Pro Max, SE 2020, 11, AirPods (No AC Adapter, Not Compatible with MagSafe Magnetic Charging)",electronic,,2,16.99,MEDIUM,
30,Essential Oil Diffuser,"VIVITEST Aromatherapy Diffuser,Ceramic Ultrasonic Essential Oil Diffuser for Aromatherapy (250ML)",daily necessities,,2,53.99,MEDIUM,
31,Water Filter Pitcher,"Brita Standard Everyday Water Filter Pitcher, White, Large 10 Cup, 1 Count",daily necessities,food,2,28.99,MEDIUM,
32,Digital Weight Scale,"Vitafit Digital Body Weight Bathroom Scale,Focusing on High Precision Technology for Weighing Over 20 Years, Extra Large Blue Backlit LCD and Step-On, Batteries Included, 400lb/180kg,Clear Glass",electronic,health,2,18.99,MEDIUM,
33,Large Coffee Machine,"De'Longhi Stilosa Manual Espresso Machine, Latte & Cappuccino Maker, 15 Bar Pump Pressure + Manual Milk Frother Steam Wand, Black / Stainless, EC260BK",electronic,food,2,99.95,HIGH,
34,Watch,Invicta Automatic Pro Diver Stainless Steel Watch,electronic,entertainment,2,80.69,HIGH,
35,Underwater Camera,Waterproof Camera Underwater Cameras for Snorkeling Full HD 2.7K 48MP Video Recorder Selfie Dual Screens 10FT 16X Digital Zoom Waterproof Digital Camera,electronic,entertainment,2,79.99,HIGH,
36,Kettle,"Cuisinart CPK-17 PerfecTemp Cordless Electric Kettle, 1.7-Liter, Premium Stainless Steel",electronic,food,2,99.95,HIGH,
